ノードＩＤ,緯度経度桁数コード,緯度,経度,高さ
00001B000000000309CEDEA662D77FC1,3,35.42.36.567,139.45.34.271,0,
00001B000000000309CEE82662CAFFC1,3,35.42.38.442,139.45.31.721,0,
00001B000000000309CEED2662D6FFC1,3,35.42.39.402,139.45.34.123,0,
00001B000000000309CEDC2662E57FC1,3,35.42.36.020,139.45.37.035,0,
00001B000000000309CEE9A6628DFFC1,3,35.42.38.737,139.45.19.559,0,
00001B000000000309CEE9A6628DFFC2,3,35.42.38.712,139.45.19.513,0,
00001B000000000309CF142662A4FFC1,3,35.42.47.293,139.45.24.106,0,
00001B000000000309CF142662A4FFC2,3,35.42.47.260,139.45.24.167,0,
00001B000000000309CEC72662E4FFC1,3,35.42.31.818,139.45.36.969,0,
00001B000000000309CEC72662E57FC1,3,35.42.31.824,139.45.37.080,0,
00001B000000000309CEB4A662DBFFC1,3,35.42.28.153,139.45.35.178,0,
00001B000000000309CEB42662DBFFC1,3,35.42.28.039,139.45.35.171,0,
00001B000000000309CEB02662D9FFC1,3,35.42.27.256,139.45.34.705,0,
00001B000000000309CEAFA662D9FFC1,3,35.42.27.174,139.45.34.706,0,
00001B000000000309CEE62662DE7FC1,3,35.42.38.085,139.45.35.684,0,
00001B000000000309CEE62662DEFFC1,3,35.42.38.094,139.45.35.752,0,
00001B000000000309CF262662B0FFC1,3,35.42.50.835,139.45.26.571,0,
00001B000000000309CF24A662B2FFC1,3,35.42.50.594,139.45.26.987,0,
00001B000000000309CF0FA662A67FC1,3,35.42.46.392,139.45.24.457,0,
00001B000000000309CF0DA662AE7FC1,3,35.42.45.993,139.45.26.088,0,
00001B000000000309CF0C2662B4FFC1,3,35.42.45.664,139.45.27.323,0,
00001B000000000309CF0BA662B5FFC1,3,35.42.45.534,139.45.27.573,0,
00001B000000000309CF0EA662B97FC1,3,35.42.46.146,139.45.28.295,0,
00001B000000000309CF0EA662B5FFC1,3,35.42.46.145,139.45.27.543,0,
00001B000000000309CEF0A6629FFFC1,3,35.42.40.137,139.45.23.149,0,
00001B000000000309CEF12662C57FC1,3,35.42.40.205,139.45.30.622,0,
00001B000000000309CF04A662A57FC1,3,35.42.44.142,139.45.24.246,0,
00001B000000000309CF072662A57FC1,3,35.42.44.632,139.45.24.274,0,
00001B000000000309CF04A6629A7FC1,3,35.42.44.130,139.45.22.063,0,
00001B000000000309CF082662A87FC1,3,35.42.44.874,139.45.24.876,0,
00001B000000000309CF02A662C37FC1,3,35.42.43.725,139.45.30.251,0,
00001B000000000309CEE5A662D4FFC1,3,35.42.37.961,139.45.33.788,0,
